item,animate
animal,TRUE
bear,TRUE
bird,TRUE
birdie,TRUE
birdy,TRUE
boy,TRUE
bunny,TRUE
butterfly,TRUE
cat,TRUE
caterpillar,TRUE
chicken,TRUE
clown,TRUE
cow,TRUE
dog,TRUE
doggie,TRUE
doggy,TRUE
duck,TRUE
ducky,TRUE
ear,TRUE
elephant,TRUE
fish,TRUE
foot,TRUE
frog,TRUE
giraffe,TRUE
goose,TRUE
hand,TRUE
horse,TRUE
kangaroo,TRUE
kitty,TRUE
kittycat,TRUE
lamb,TRUE
lion,TRUE
monkey,TRUE
mouse,TRUE
mouth,TRUE
owl,TRUE
pig,TRUE
pony,TRUE
puppy,TRUE
rabbit,TRUE
rooster,TRUE
sheep,TRUE
teddy bear,TRUE
teddy bear,TRUE
tiger,TRUE
whale,TRUE
zebra,TRUE